Frame Index, Fixed Action 0 Bitrate (kbps), Fixed Action 1 Bitrate (kbps), Fixed Action 2 Bitrate (kbps), Fixed Action 3 Bitrate (kbps), Fixed Action 4 Bitrate (kbps), Fixed Action 5 Bitrate (kbps)
152, 68.84, 110.12, 159.79, 227.55, 344.73, 417.83
153, 171.26, 171.26, 171.26, 171.26, 171.26, 171.26
154, 54.86, 85.37, 120.74, 170.69, 254.69, 322.02
155, 60.77, 94.95, 134.66, 188.57, 276.69, 349.02
156, 64.08, 98.21, 139.90, 197.13, 291.12, 359.95
157, 62.22, 96.91, 139.56, 202.64, 301.83, 372.16
158, 67.08, 105.32, 151.56, 217.52, 322.58, 393.66
159, 70.72, 111.09, 161.33, 225.53, 335.04, 408.98
160, 73.74, 117.56, 166.82, 236.33, 351.33, 421.46
161, 171.45, 171.45, 171.45, 171.45, 171.45, 171.45
162, 52.08, 81.00, 115.35, 165.43, 249.28, 315.19
163, 56.56, 84.48, 121.23, 173.46, 261.18, 328.90
164, 61.15, 91.11, 131.96, 187.47, 281.87, 354.52
165, 62.97, 95.51, 137.17, 199.81, 297.15, 373.15
166, 63.90, 98.93, 143.03, 206.13, 311.13, 383.67
167, 62.64, 98.62, 144.32, 211.24, 320.61, 393.75
168, 65.01, 101.99, 148.79, 217.01, 328.90, 403.80
169, 171.74, 171.74, 171.74, 171.74, 171.74, 171.74
170, 55.61, 86.28, 122.10, 173.14, 257.91, 328.35
171, 60.58, 96.10, 135.75, 190.77, 280.74, 353.43
172, 59.79, 94.55, 136.38, 195.27, 291.52, 363.62
173, 62.20, 97.72, 141.79, 202.97, 301.01, 374.74
174, 65.87, 104.21, 151.45, 215.35, 316.89, 391.92
175, 66.14, 105.26, 152.75, 220.18, 323.27, 399.02
176, 70.24, 110.00, 159.61, 228.67, 336.09, 413.17
177, 173.86, 173.86, 173.86, 173.86, 173.86, 173.86
178, 55.51, 86.06, 121.63, 171.88, 258.65, 326.54
179, 60.03, 92.86, 132.53, 186.43, 276.98, 348.51
180, 62.92, 98.79, 139.30, 198.87, 290.92, 366.31
181, 60.49, 98.87, 141.57, 206.01, 305.57, 378.59
182, 62.95, 102.71, 148.40, 214.79, 318.55, 391.52
183, 63.79, 106.19, 154.17, 221.16, 332.48, 406.27
184, 65.50, 108.17, 158.05, 228.18, 341.12, 414.72
185, 171.49, 171.49, 171.49, 171.49, 171.49, 171.49
186, 53.84, 83.75, 117.86, 166.78, 249.89, 318.79
187, 54.61, 87.47, 125.23, 179.76, 268.01, 342.06
188, 62.00, 97.83, 138.70, 195.57, 292.66, 368.60
189, 64.86, 103.92, 146.63, 208.53, 309.47, 386.14
190, 66.80, 106.80, 152.77, 215.91, 320.95, 396.70
191, 63.99, 105.70, 152.50, 219.62, 329.58, 402.96
192, 66.85, 106.46, 155.23, 222.74, 338.13, 412.26
193, 171.45, 171.45, 171.45, 171.45, 171.45, 171.45
194, 53.33, 82.80, 117.80, 167.67, 252.14, 317.84
195, 57.26, 88.80, 126.89, 180.96, 269.49, 339.69
196, 61.36, 96.19, 138.56, 195.22, 291.23, 365.68
197, 60.96, 98.24, 143.09, 202.00, 305.85, 379.25
198, 62.85, 102.54, 147.71, 211.92, 318.54, 391.40
199, 63.31, 103.69, 149.37, 218.85, 326.71, 398.06
200, 66.05, 105.03, 148.89, 220.12, 331.51, 402.57
201, 170.18, 170.18, 170.18, 170.18, 170.18, 170.18
202, 52.77, 83.11, 118.05, 167.93, 253.75, 321.07
203, 56.51, 90.12, 128.49, 181.86, 271.52, 339.90
204, 60.35, 97.74, 137.59, 195.09, 291.94, 363.00
205, 63.40, 101.49, 145.16, 204.86, 305.09, 376.90
206, 67.60, 107.44, 153.78, 216.82, 319.53, 396.75
207, 64.47, 105.78, 152.87, 220.55, 330.46, 404.76
208, 69.43, 109.89, 159.40, 228.21, 335.55, 415.59
209, 170.90, 170.90, 170.90, 170.90, 170.90, 170.90
210, 57.51, 88.15, 124.81, 174.19, 255.08, 325.51
211, 55.11, 87.39, 125.52, 179.05, 265.75, 340.66
212, 58.62, 92.69, 132.59, 188.46, 277.81, 352.36
213, 61.95, 96.69, 138.99, 198.17, 296.89, 370.04
214, 64.53, 99.67, 144.19, 208.10, 306.78, 381.65
215, 67.17, 106.05, 150.74, 217.27, 319.22, 394.92
216, 65.33, 102.99, 149.58, 219.47, 328.94, 401.57
217, 170.35, 170.35, 170.35, 170.35, 170.35, 170.35
218, 53.48, 81.88, 116.44, 165.03, 249.88, 315.98
219, 56.92, 86.32, 123.01, 176.74, 263.20, 331.23
220, 61.68, 94.71, 134.08, 191.31, 279.66, 353.23
221, 59.72, 93.75, 133.72, 193.48, 288.80, 361.99
222, 62.55, 98.20, 139.95, 203.26, 303.86, 379.42
223, 64.06, 98.37, 142.26, 206.81, 311.16, 384.34
224, 68.23, 108.94, 155.11, 221.46, 331.37, 406.26
225, 171.46, 171.46, 171.46, 171.46, 171.46, 171.46
226, 46.35, 71.56, 102.98, 151.63, 232.17, 297.07
227, 52.50, 78.60, 112.63, 163.59, 248.76, 316.42
228, 55.89, 83.74, 119.37, 174.11, 265.71, 333.80
229, 59.98, 90.43, 130.82, 188.86, 285.35, 355.52
230, 62.86, 98.70, 141.76, 201.55, 303.39, 378.38
231, 62.86, 98.26, 142.28, 206.84, 313.50, 386.77
232, 64.70, 98.42, 143.14, 208.50, 318.71, 391.43
233, 172.98, 172.98, 172.98, 172.98, 172.98, 172.98
234, 53.47, 81.39, 114.97, 164.35, 246.97, 316.11
235, 58.12, 89.42, 126.26, 180.16, 267.32, 339.29
236, 59.03, 95.74, 135.34, 193.58, 284.84, 358.68
237, 61.57, 98.68, 140.64, 200.90, 295.51, 370.72
238, 65.33, 105.27, 149.89, 214.73, 314.37, 391.28
239, 66.79, 108.92, 154.86, 221.77, 327.03, 403.72
240, 67.41, 108.90, 155.93, 223.48, 331.69, 408.50
241, 172.90, 172.90, 172.90, 172.90, 172.90, 172.90
242, 45.59, 70.97, 100.72, 150.26, 233.92, 295.76
243, 56.85, 85.73, 120.76, 171.39, 258.06, 329.62
244, 60.02, 93.36, 132.58, 187.08, 281.91, 352.80
245, 62.80, 97.50, 139.51, 195.85, 296.03, 369.70
246, 61.27, 96.93, 139.49, 201.85, 304.39, 379.37
247, 63.29, 98.31, 141.67, 205.86, 312.40, 385.56
248, 66.74, 102.15, 146.45, 212.53, 323.44, 397.76
249, 172.85, 172.85, 172.85, 172.85, 172.85, 172.85
250, 51.26, 77.74, 110.69, 159.19, 241.64, 310.70
